marca;modelo;ano;tipo_carroceria;tipo_combustivel;transmissão;quilometragem;preço;condição;estado;uf;pais;idade;km_ano
Mahindra;Bolero;2013;Convertible;Petrol;Manual;164331;1642,00;good;Novais dos Dourados;MG;Brazil;12;13694,25
Skoda;Slavia;2015;Convertible;Petrol;Manual;120224;2727,00;fair;St. Marie;WA;Australia;10;12022,40
Tata;Altroz;2013;Sedan;Hybrid;Manual;164430;1301,00;good;East Rachelville;SA;Australia;12;13702,50
Tesla;Model Y;2013;Sedan;Petrol;Manual;106665;2485,00;fair;Andreafurt;MB;Canada;12;8888,75
Ford;Escape;2022;Hatchback;Petrol;Automatic;24401;12286,00;excellent;da Mata;PA;Brazil;3;8133,67
Maruti;Dzire;2013;Van;CNG;CVT;176447;1241,00;good;Gonçalves;SP;Brazil;12;14703,92
Volkswagen;Taigun;2023;SUV;Petrol;CVT;26824;26173,00;excellent;Bethanchester;NIR;UK;2;13412,00
Tesla;Model 3;2016;Sedan;Plug-in Hybrid;Automatic;54053;6267,00;fair;Kevinfort;SA;Australia;9;6005,89
Ford;Escape;2019;Hatchback;Petrol;Automatic;45995;6710,00;good;Mendonça;SP;Brazil;6;7665,83
Audi;A6;2015;MPV;Petrol;Automatic;253052;3663,00;excellent;利島村;Kanagawa;Japan;10;25305,20
Tata;Nexon;2023;Convertible;Diesel;Manual;24161;18941,00;good;Durgapur;KA;India;2;12080,50
Audi;Q5;2025;MPV;CNG;DCT;102993;46724,00;good;BrunetVille;OCC;France;0;13684,21
Tesla;Model 3;2018;Hatchback;Hybrid;Manual;94439;6797,00;excellent;Mcconnellburgh;ON;Canada;7;13491,29
Ford;Explorer;2019;MPV;Hybrid;Manual;162108;5906,00;good;Gudivada;MH;India;6;27018,00
Tata;Punch;2025;Hatchback;Petrol;Manual;102993;13293,00;good;Martins;CVL;France;0;13684,21
BMW;X5;2014;Van;Electric;Automatic;80939;4461,00;fair;West Gina;NT;Australia;11;7358,09
Tata;Nexon;2013;Van;Diesel;Automatic;135438;1316,00;desconhecido;New Robert;QLD;Australia;12;11286,50
Mercedes-Benz;E-Class;2012;Convertible;Petrol;Automatic;111946;4118,00;good;East James;CA;US;13;8611,23
Chevrolet;Silverado;2007;Convertible;Petrol;Manual;418428;1165,00;fair;Dessau;SH;Germany;18;23246,00
Mercedes-Benz;E-Class;2025;Pickup;Hybrid;CVT;102993;58145,00;fair;da Mata;PR;Brazil;0;13684,21
Audi;Q5;2015;SUV;Petrol;Automatic;104865;7381,00;new;Bloemfontein;WC;South Africa;10;10486,50
Toyota;Tacoma;2017;Hatchback;Hybrid;Automatic;119157;2753,00;excellent;Barbosa do Sul;RS;Brazil;8;14894,62
Maruti;Ertiga;2017;Van;Diesel;Manual;133515;3833,00;good;港区;Osaka;Japan;8;16689,38
Mercedes-Benz;E-Class;2022;MPV;Petrol;Automatic;76181;21340,00;desconhecido;Vohenstrauß;RP;Germany;3;25393,67
Volkswagen;Jetta;2024;SUV;Petrol;Manual;21763;16389,00;salvage;香取郡多古町;Okinawa;Japan;1;21763,00
Skoda;Kushaq;2020;Hatchback;CNG;Automatic;73820;7645,00;excellent;横浜市旭区;Kyoto;Japan;5;14764,00
Mahindra;Scorpio;2015;Convertible;Petrol;Automatic;84885;3569,00;excellent;North Rosieberg;SCT;UK;10;8488,50
Mercedes-Benz;GLA;2017;Hatchback;Petrol;CVT;107550;4382,00;good;East Williamstad;NT;Australia;8;13443,75
Honda;CR-V;2018;Convertible;Hybrid;Manual;104491;9040,00;good;八街市;Aichi;Japan;7;14927,29
Tesla;Model Y;2018;SUV;Petrol;Automatic;111021;14044,00;like new;君津市;Fukuoka;Japan;7;15860,14
Tesla;Model Y;2011;Coupe;Petrol;Automatic;207073;2514,00;excellent;Clarkburgh;NY;US;14;14790,93
Volkswagen;Taigun;2020;MPV;Petrol;Manual;36932;11355,00;good;Pretoria;GP;South Africa;5;7386,40
Honda;Accord;2018;Convertible;Petrol;Automatic;174220;5125,00;desconhecido;Dupont;BFC;France;7;24888,57
Tesla;Model Y;2019;Coupe;CNG;Automatic;59026;12686,00;fair;Almeida do Sul;PR;Brazil;6;9837,67
Kia;Seltos;2017;Convertible;Petrol;Automatic;96941;6015,00;good;da Mata das Pedras;PE;Brazil;8;12117,62
Audi;A4;2012;SUV;Diesel;Automatic;193189;2593,00;good;Cameronville;QLD;Australia;13;14860,69
Hyundai;Tucson;2020;Coupe;Petrol;DCT;115848;9143,00;good;国立市;Okinawa;Japan;5;23169,60
Honda;City;2013;Convertible;CNG;Automatic;171677;1849,00;fair;Kevinview;PA;US;12;14306,42
Skoda;Kushaq;2021;Sedan;Diesel;Manual;45379;11182,00;good;Mendonça Alegre;PR;Brazil;4;11344,75
BMW;X5;2021;Hatchback;Petrol;Manual;64489;9532,00;fair;Wallsland;AB;Canada;4;16122,25
Maruti;Wagon R;2024;Van;Diesel;Manual;21090;18898,00;excellent;Coulon;ARA;France;1;21090,00
Volkswagen;Tiguan;2021;Hatchback;Petrol;Manual;33224;8684,00;good;East Chad;GA;US;4;8306,00
Ford;Explorer;2006;Sedan;Plug-in Hybrid;Manual;192499;1249,00;good;West William;NB;Canada;19;10131,53
Toyota;Camry;2020;Sedan;Petrol;Automatic;57648;9160,00;good;East London;EC;South Africa;5;11529,60
Ford;Escape;2016;Van;Petrol;Manual;132442;4271,00;good;Duderstadt;BB;Germany;9;14715,78
Kia;Seltos;2017;Pickup;Diesel;Manual;105279;8245,00;good;Orai;PB;India;8;13159,88
Toyota;Highlander;2010;Sedan;Electric;Automatic;108146;1279,00;salvage;Pretoria;NC;South Africa;15;7209,73
Ford;Explorer;2015;Van;Hybrid;Automatic;255893;2605,00;excellent;武蔵村山市;Osaka;Japan;10;25589,30
Chevrolet;Equinox;2012;SUV;Petrol;Manual;289558;1186,00;salvage;Jehanabad;KA;India;13;22273,69
Kia;Sonet;2014;Van;Diesel;Manual;180670;2323,00;like new;West Dianastad;PA;US;11;16424,55
Chevrolet;Malibu;2025;Sedan;Hybrid;Automatic;102993;13313,00;salvage;North Steven;MA;US;0;13684,21
Maruti;Dzire;2022;Pickup;Diesel;CVT;70474;15875,00;desconhecido;Bad Freienwalde;BB;Germany;3;23491,33
Tesla;Model 3;2012;Van;Electric;Automatic;122493;3854,00;good;いすみ市;Okinawa;Japan;13;9422,54
Kia;Sonet;2017;Hatchback;Hybrid;Automatic;77534;3971,00;good;East Denisefort;MA;US;8;9691,75
Volkswagen;Jetta;2012;Crossover;Diesel;Manual;195653;1313,00;fair;Brooksview;WA;Australia;13;15050,23
Skoda;Slavia;2014;SUV;Hybrid;Manual;126975;1941,00;fair;Port Danielborough;AB;Canada;11;11543,18
Maruti;Baleno;2021;Convertible;Diesel;Automatic;32096;10199,00;fair;Port Bridget;IL;US;4;8024,00
Audi;Q5;2025;Crossover;Petrol;Manual;102993;40111,00;desconhecido;East London;MP;South Africa;0;13684,21
Chevrolet;Malibu;2019;Sedan;Petrol;Manual;90354;4990,00;fair;East Tonyland;BC;Canada;6;15059,00
Toyota;Camry;2018;Crossover;Petrol;Automatic;85557;6007,00;fair;Raipur;WB;India;7;12222,43
Mahindra;Bolero;2018;SUV;Electric;Automatic;55369;5949,00;good;Kimberlyborough;IL;US;7;7909,86
Nissan;Rogue;2018;Convertible;Petrol;DCT;88608;6437,00;fair;Martinview;NT;Australia;7;12658,29
Audi;A6;2017;Crossover;Petrol;Automatic;172180;7940,00;excellent;Bhatpara;RJ;India;8;21522,50
Skoda;Kushaq;2017;Convertible;Diesel;CVT;69874;7901,00;excellent;East James;ACT;Australia;8;8734,25
Maruti;Swift;2009;Coupe;Hybrid;Automatic;197082;1226,00;excellent;府中市;Kanagawa;Japan;16;12317,62
Volkswagen;Tiguan;2020;SUV;Diesel;Automatic;130387;9358,00;good;Thane;DL;India;5;26077,40
Maruti;Baleno;2020;Van;Diesel;CVT;45098;7581,00;good;Ribeiro de Minas;PA;Brazil;5;9019,60
Honda;Civic;2018;Van;Petrol;Manual;159537;5630,00;like new;小笠原村;Fukuoka;Japan;7;22791,00
Toyota;RAV4;2022;Sedan;Petrol;Automatic;40857;13848,00;excellent;Carolside;WA;Australia;3;13619,00
Maruti;Wagon R;2021;Van;Petrol;Automatic;61704;9037,00;excellent;East Benjamin;SCT;UK;4;15426,00
Tata;Harrier;2025;Convertible;Diesel;Automatic;102993;23033,00;fair;荒川区;Tokyo;Japan;0;13684,21
Nissan;Magnite;2012;Sedan;Diesel;Automatic;114700;1448,00;good;Pateltown;NIR;UK;13;8823,08
Kia;Sorento;2014;MPV;Electric;CVT;169186;2419,00;good;Fontaine;GES;France;11;15380,55
Nissan;Magnite;2018;Pickup;Petrol;Automatic;84931;7202,00;fair;East London;FS;South Africa;7;12133,00
Mahindra;XUV700;2020;Pickup;Petrol;Automatic;41982;9374,00;fair;New Alyssaland;AZ;US;5;8396,40
Mahindra;XUV700;2021;Van;Diesel;Automatic;38027;9466,00;excellent;Martins;RJ;Brazil;4;9506,75
Skoda;Kushaq;2012;Convertible;Petrol;Automatic;171493;1875,00;good;Ianbury;MI;US;13;13191,77
Kia;Sorento;2021;Van;CNG;Automatic;63595;13743,00;new;Durban;MP;South Africa;4;15898,75
Kia;Sonet;2025;Hatchback;Electric;Manual;102993;28869,00;excellent;夷隅郡大多喜町;Aichi;Japan;0;13684,21
Mercedes-Benz;GLA;2023;Coupe;Hybrid;Automatic;27643;18768,00;salvage;Laroche;GES;France;2;13821,50
Toyota;Camry;2013;SUV;CNG;Manual;173572;1927,00;good;da Costa;CE;Brazil;12;14464,33
Maruti;Swift;2024;Van;Petrol;Automatic;10445;17745,00;good;Lake Allison;NY;US;1;10445,00
Mercedes-Benz;GLC;2012;Hatchback;Electric;Automatic;230719;1860,00;excellent;Muzaffarpur;KA;India;13;17747,62
Mahindra;XUV700;2013;Crossover;Petrol;Automatic;175754;1684,00;excellent;Rastatt;RP;Germany;12;14646,17
BMW;X3;2025;MPV;Petrol;CVT;102993;49946,00;excellent;Timothyport;ACT;Australia;0;13684,21
Audi;A6;2023;Crossover;Petrol;Automatic;24350;32848,00;good;Durban;EC;South Africa;2;12175,00
Honda;Civic;2016;Crossover;Diesel;Manual;189638;1823,00;salvage;Kolkata;WB;India;9;21070,89
Honda;Civic;2021;Pickup;Petrol;Automatic;35664;21632,00;excellent;Guerra da Mata;PR;Brazil;4;8916,00
Ford;F-150;2012;MPV;Hybrid;Manual;122954;1270,00;fair;Cape Town;KZN;South Africa;13;9458,00
Mercedes-Benz;GLC;2009;Pickup;CNG;Automatic;148875;2149,00;good;Durban;WC;South Africa;16;9304,69
Audi;Q3;2022;Coupe;Petrol;Automatic;38908;29577,00;excellent;West Rachelport;NC;US;3;12969,33
Volkswagen;Taigun;2025;Coupe;Petrol;Manual;102993;43463,00;new;Badalzungen;BB;Germany;0;13684,21
Volkswagen;Taigun;2016;SUV;Electric;Manual;56537;5106,00;fair;Lake Phillipville;ENG;UK;9;6281,89
Chevrolet;Trax;2013;Coupe;Petrol;Automatic;190771;1919,00;good;East Ryanview;WLS;UK;12;15897,58
Volkswagen;Taigun;2020;Coupe;Petrol;Automatic;55806;11423,00;good;Candaceport;OH;US;5;11161,20
Nissan;Sentra;2013;SUV;Petrol;Automatic;185914;1907,00;fair;長生郡長南町;Fukuoka;Japan;12;15492,83
Chevrolet;Malibu;2007;Pickup;Petrol;CVT;246666;1306,00;good;Lambertdan;BFC;France;18;13703,67
Hyundai;Tucson;2015;Sedan;Diesel;AMT;221741;1856,00;good;Chennai;KL;India;10;22174,10
Maruti;Baleno;2014;Sedan;Diesel;Automatic;141924;1278,00;good;Johannesburg;MP;South Africa;11;12902,18
Volkswagen;Tiguan;2023;Van;Petrol;Automatic;38297;10007,00;salvage;横浜市磯子区;Okinawa;Japan;2;19148,50
Honda;CR-V;2014;SUV;Petrol;Manual;174984;2657,00;excellent;West Wayne;WLS;UK;11;15907,64
Skoda;Octavia;2020;Sedan;Petrol;Manual;53091;9721,00;like new;Durban;EC;South Africa;5;10618,20
Hyundai;Sonata;2014;Sedan;Petrol;CVT;178468;1623,00;good;Matthewberg;CO;US;11;16224,36
Tesla;Model 3;2021;Convertible;Electric;CVT;61933;33439,00;good;Indore;HR;India;4;15483,25
Mercedes-Benz;GLC;2017;MPV;Hybrid;Automatic;128292;5536,00;like new;South Stefanieside;TAS;Australia;8;16036,50
Chevrolet;Trax;2019;Convertible;Petrol;Automatic;47349;11757,00;good;New Sarah;MB;Canada;6;7891,50
Ford;Escape;2017;Pickup;Electric;CVT;60261;9812,00;excellent;East Christian;NC;US;8;7532,62
Tesla;Model 3;2024;Van;Electric;Automatic;5714;25051,00;salvage;Port Scott;PA;US;1;5714,00
Tata;Nexon;2013;Pickup;Petrol;DCT;103679;2296,00;good;Trevormouth;IL;US;12;8639,92
Mahindra;Scorpio;2016;MPV;Diesel;AMT;158484;1999,00;fair;Freising;TH;Germany;9;17609,33
Mahindra;XUV700;2014;SUV;Electric;Automatic;76682;3272,00;excellent;Pretoria;NC;South Africa;11;6971,09
Mercedes-Benz;GLA;2015;Convertible;Petrol;CVT;250007;4657,00;good;Sagar;MH;India;10;25000,70
Tata;Altroz;2015;MPV;Petrol;Automatic;129094;2648,00;good;Dhanbad;GJ;India;10;12909,40
Maruti;Dzire;2024;SUV;Petrol;Automatic;14597;20556,00;good;Bethanstad;SCT;UK;1;14597,00
Hyundai;Sonata;2021;Van;Hybrid;Manual;88141;12681,00;like new;Chapra;KA;India;4;22035,25
Honda;Amaze;2012;Coupe;Hybrid;CVT;286578;1639,00;good;新島村;Aichi;Japan;13;22044,46
Skoda;Slavia;2023;Coupe;Hybrid;Manual;23851;22280,00;good;Lake David;SA;Australia;2;11925,50
Audi;A6;2016;Crossover;Diesel;Manual;137975;2357,00;salvage;Oliverbury;ENG;UK;9;15330,56
Mahindra;Bolero;2014;Coupe;Diesel;Manual;105064;2051,00;good;Cape Town;WC;South Africa;11;9551,27
Toyota;RAV4;2018;Coupe;Petrol;Automatic;73555;8230,00;like new;East Williamland;QLD;Australia;7;10507,86
Hyundai;Sonata;2014;Van;Diesel;Manual;99420;2991,00;good;Michaelstad;VIC;Australia;11;9038,18
Mercedes-Benz;GLC;2021;Crossover;Diesel;Automatic;71462;21678,00;good;Panipat;RJ;India;4;17865,50
Skoda;Slavia;2020;Hatchback;Petrol;CVT;92417;6778,00;good;GodardVille;CVL;France;5;18483,40
Tesla;Model 3;2021;Coupe;Hybrid;Automatic;101760;20309,00;excellent;Herzberg;MV;Germany;4;25440,00
Tata;Altroz;2015;SUV;Petrol;Automatic;76287;1907,00;salvage;Santos de Santos;MG;Brazil;10;7628,70
Maruti;Baleno;2019;Crossover;Petrol;Automatic;116252;5202,00;good;Fürstenwalde;MV;Germany;6;19375,33
Nissan;Altima;2023;Sedan;Petrol;Automatic;44071;17786,00;excellent;Raipur;KA;India;2;22035,50
Chevrolet;Equinox;2012;Crossover;Electric;Automatic;157897;1538,00;good;Port Marystad;MI;US;13;12145,92
Ford;F-150;2018;Hatchback;Petrol;Manual;75526;3710,00;fair;New Danielport;QLD;Australia;7;10789,43
Ford;Escape;2023;Van;Petrol;Automatic;29273;11001,00;salvage;Wernerstad;GA;US;2;14636,50
Honda;CR-V;2018;SUV;Petrol;DCT;70436;8358,00;good;Jessicachester;NS;Canada;7;10062,29
Mercedes-Benz;GLA;2024;Crossover;Hybrid;Automatic;20572;46633,00;like new;武蔵野市;Hokkaido;Japan;1;20572,00
Mercedes-Benz;GLA;2013;Convertible;Diesel;Automatic;154066;2758,00;salvage;Erbisdorf;NW;Germany;12;12838,83
Honda;Civic;2021;Hatchback;Petrol;Automatic;46785;8954,00;good;Paulineville;NIR;UK;4;11696,25
Maruti;Dzire;2009;Crossover;Petrol;Automatic;167087;1185,00;fair;Johannesburg;KZN;South Africa;16;10442,94
Mahindra;Bolero;2017;Pickup;Electric;Manual;45601;6275,00;good;Port Kelly;SCT;UK;8;5700,12
Tata;Harrier;2009;Sedan;Plug-in Hybrid;Automatic;191076;1317,00;good;Peixoto;CE;Brazil;16;11942,25
Audi;Q5;2020;Hatchback;Petrol;Automatic;96640;11476,00;excellent;Rudolstadt;NI;Germany;5;19328,00
Tata;Altroz;2014;Van;Petrol;Manual;156521;1474,00;good;Dianafort;NL;Canada;11;14229,18
Skoda;Octavia;2020;Pickup;Petrol;Automatic;133760;9787,00;fair;Erkelenz;NW;Germany;5;26752,00
Chevrolet;Silverado;2006;Van;Petrol;Manual;266556;1248,00;good;Texiernec;ARA;France;19;14029,26
Maruti;Ertiga;2017;Hatchback;Diesel;Automatic;72829;2233,00;fair;Port Joseph;SK;Canada;8;9103,62
Mahindra;Scorpio;2020;Sedan;Diesel;AMT;65524;6600,00;excellent;Fordstad;AZ;US;5;13104,80
Mercedes-Benz;GLC;2013;Pickup;Petrol;Automatic;97621;5740,00;good;Jesus;SP;Brazil;12;8135,08
Chevrolet;Malibu;2023;Hatchback;Petrol;Manual;30027;13579,00;good;横浜市泉区;Osaka;Japan;2;15013,50
BMW;X5;2022;Coupe;Petrol;Automatic;28059;30497,00;excellent;Cavalcante do Amparo;AM;Brazil;3;9353,00
Nissan;Rogue;2021;Coupe;Petrol;Automatic;29824;17368,00;excellent;Edwardside;ENG;UK;4;7456,00
Ford;Maverick;2021;MPV;Petrol;Manual;61331;12923,00;good;Collin;CVL;France;4;15332,75
Mahindra;Bolero;2025;Van;Plug-in Hybrid;Automatic;102993;12791,00;salvage;印旛郡酒々井町;Osaka;Japan;0;13684,21
Tesla;Model Y;2013;MPV;Electric;Automatic;176731;3644,00;excellent;Fouquet;CVL;France;12;14727,58
Toyota;Tacoma;2025;Van;Electric;Automatic;102993;35415,00;good;Port Elizabeth;EC;South Africa;0;13684,21
Tata;Altroz;2014;Hatchback;Petrol;Manual;208016;1243,00;good;Zschopau;ST;Germany;11;18910,55
Skoda;Slavia;2015;Sedan;Petrol;Manual;132682;3941,00;excellent;Dupuy;BFC;France;10;13268,20
Tesla;Model Y;2018;Coupe;Plug-in Hybrid;Automatic;67566;12115,00;fair;Benard;CVL;France;7;9652,29
Mercedes-Benz;GLC;2011;Pickup;Electric;Manual;165045;2311,00;fair;Pretoria;LP;South Africa;14;11788,93
BMW;3 Series;2025;Crossover;Petrol;Automatic;102993;60567,00;like new;Bloemfontein;NW;South Africa;0;13684,21
Nissan;Sentra;2013;SUV;Diesel;Automatic;265001;2054,00;good;Nürtingen;SH;Germany;12;22083,42
Tesla;Model Y;2021;Hatchback;Diesel;Automatic;34220;8192,00;salvage;New Michelle;QC;Canada;4;8555,00
Skoda;Octavia;2015;Hatchback;Hybrid;CVT;116248;1750,00;good;Rocha de Minas;SP;Brazil;10;11624,80
Toyota;Innova;2021;Pickup;Petrol;Automatic;57563;16193,00;good;Bloemfontein;WC;South Africa;4;14390,75
Nissan;Rogue;2005;Convertible;Hybrid;AMT;193681;1223,00;excellent;East Christopherfurt;AZ;US;20;9684,05
Toyota;Corolla;2023;Crossover;Petrol;DCT;28261;20587,00;good;Ebern;HE;Germany;2;14130,50
Volkswagen;Taigun;2016;Pickup;Petrol;Automatic;145812;5007,00;fair;横浜市南区;Kyoto;Japan;9;16201,33
Volkswagen;Tiguan;2018;Sedan;Diesel;Automatic;98638;6487,00;excellent;四街道市;Aichi;Japan;7;14091,14
